code_edi;tableau_nom;libelle_ligne;label_col1;label_col2;label_col3
497;Table 1;Immobilisations en non valeurs (A);Valeur 1;Valeur 2;Valeur 3
498;Table 1;Immobilisations en non valeurs (A);Valeur 1;Valeur 2;Valeur 3
499;Table 1;Immobilisations en non valeurs (A);Valeur 1;Valeur 2;Valeur 3
500;Table 1;Immobilisations en non valeurs (A);Valeur 1;Valeur 2;Valeur 3
238;Table 1;Frais préliminaires;Valeur 1;Valeur 2;Valeur 3
241;Table 1;Frais préliminaires;Valeur 1;Valeur 2;Valeur 3
244;Table 1;Frais préliminaires;Valeur 1;Valeur 2;Valeur 3
247;Table 1;Frais préliminaires;Valeur 1;Valeur 2;Valeur 3
239;Table 1;Charges à répartir sur plusieurs exercices;Valeur 1;Valeur 2;Valeur 3
242;Table 1;Charges à répartir sur plusieurs exercices;Valeur 1;Valeur 2;Valeur 3
245;Table 1;Charges à répartir sur plusieurs exercices;Valeur 1;Valeur 2;Valeur 3
248;Table 1;Charges à répartir sur plusieurs exercices;Valeur 1;Valeur 2;Valeur 3
240;Table 1;Primes de remboursement des obligations;Valeur 1;Valeur 2;Valeur 3
243;Table 1;Primes de remboursement des obligations;Valeur 1;Valeur 2;Valeur 3
246;Table 1;Primes de remboursement des obligations;Valeur 1;Valeur 2;Valeur 3
249;Table 1;Primes de remboursement des obligations;Valeur 1;Valeur 2;Valeur 3
502;Table 1;Immobilisations incorporelles (B);Valeur 1;Valeur 2;Valeur 3
503;Table 1;Immobilisations incorporelles (B);Valeur 1;Valeur 2;Valeur 3
504;Table 1;Immobilisations incorporelles (B);Valeur 1;Valeur 2;Valeur 3
505;Table 1;Immobilisations incorporelles (B);Valeur 1;Valeur 2;Valeur 3
274;Table 1;Immobilisations en recherche et développement;Valeur 1;Valeur 2;Valeur 3
278;Table 1;Immobilisations en recherche et développement;Valeur 1;Valeur 2;Valeur 3
282;Table 1;Immobilisations en recherche et développement;Valeur 1;Valeur 2;Valeur 3
286;Table 1;Immobilisations en recherche et développement;Valeur 1;Valeur 2;Valeur 3
